CALENDARID	OPERATIONDAY	SCHEDULETYPEID	PLANVERSIONID
13882	2013-11-19	1951012	40
13883	2013-11-20	1951012	40
13884	2013-11-21	1951012	40
13885	2013-11-22	1951012	40
13886	2013-11-23	1951016	40
13887	2013-11-24	1951017	40
13888	2013-11-25	1951012	40
13889	2013-11-26	1951012	40
13890	2013-11-27	1951012	40
13891	2013-11-28	1951012	40
13892	2013-11-29	1951012	40
13893	2013-11-30	1951016	40
13894	2013-12-01	1951017	40
13895	2013-12-02	1951012	40
13896	2013-12-03	1951012	40
13897	2013-12-04	1951012	40
13898	2013-12-05	1951012	40
13899	2013-12-06	1951012	40
13900	2013-12-07	1951016	40
13901	2013-12-08	1951017	40
13902	2013-12-09	1951012	40
13903	2013-12-10	1951012	40
13904	2013-12-11	1951012	40
13905	2013-12-12	1951012	40
13906	2013-12-13	1951012	40
13907	2013-12-14	1951016	40
13908	2013-12-15	1951017	40
13909	2013-12-16	1951012	40
13910	2013-12-17	1951012	40
13911	2013-12-18	1951012	40
13912	2013-12-19	1951012	40
13913	2013-12-20	1951012	40
13914	2013-12-21	1951016	40
13915	2013-12-22	1951017	40
13916	2013-12-23	1951012	40
13917	2013-12-24	1951012	40
13918	2013-12-25	1951017	40
13919	2013-12-26	1951012	40
13920	2013-12-27	1951012	40
13921	2013-12-28	1951016	40
13922	2013-12-29	1951017	40
13923	2013-12-30	1951012	40
13924	2013-12-31	1951012	40
13782	2013-08-11	1951017	40
13783	2013-08-12	1951012	40
